Benchmark Name,Rounding,Normalization,Total Time (ms),Result,Solver Time (ms)
r7,loop-free,loop-based,6000.79,SAFE,70.0 to
r7,loop-free,loop-free,6054.52,SAFE,47.0 to
r7,loop-based,loop-free,259689.14,UNKNOWN,
r7,loop-based,loop-based,259967.91,UNKNOWN,
